episode,score,epsilon
426,-259.46085933351605,0.00998645168764533
427,-252.22178957161185,0.00998645168764533
428,-255.49143245046443,0.00998645168764533
429,-239.5872589005521,0.00998645168764533
430,-249.52337013904736,0.00998645168764533
431,-261.89869753473846,0.00998645168764533
432,-298.1016581724935,0.00998645168764533
433,-241.1135969917632,0.00998645168764533
434,-274.900143536863,0.00998645168764533
435,-254.07467015905874,0.00998645168764533
436,-255.42512073492387,0.00998645168764533
437,-267.05472498920744,0.00998645168764533
438,-293.9627786440794,0.00998645168764533
439,-250.10919136822557,0.00998645168764533
440,-267.1730135904191,0.00998645168764533
441,-249.61722115618207,0.00998645168764533
442,-277.1017471350644,0.00998645168764533
443,-243.9449166898454,0.00998645168764533
444,-259.8544656838986,0.00998645168764533
445,-249.5657699575482,0.00998645168764533
446,-277.74150721010403,0.00998645168764533
447,-279.097639826444,0.00998645168764533
448,-265.7436763111103,0.00998645168764533
449,-264.03697074061694,0.00998645168764533
450,-271.8598937940943,0.00998645168764533
451,-263.1675738289643,0.00998645168764533
452,-258.6970415306498,0.00998645168764533
453,-261.35357890139517,0.00998645168764533
454,-273.68823954316196,0.00998645168764533
455,-255.32921623701858,0.00998645168764533
456,-257.0778033270325,0.00998645168764533
457,-252.39877010772616,0.00998645168764533
458,-248.6076651844361,0.00998645168764533
459,-243.69733482284187,0.00998645168764533
460,-262.917549988614,0.00998645168764533
461,-250.94829652646268,0.00998645168764533
462,-237.728195063602,0.00998645168764533
463,-260.70445991520313,0.00998645168764533
464,-260.0890066283954,0.00998645168764533
465,-267.29286842398477,0.00998645168764533
466,-266.5157732853993,0.00998645168764533
467,-257.7240790899119,0.00998645168764533
468,-280.49026429063446,0.00998645168764533
469,-257.15839807199245,0.00998645168764533
470,-259.07016779844366,0.00998645168764533
471,-274.5469560141636,0.00998645168764533
472,-266.59242892757675,0.00998645168764533
473,-287.2520896491613,0.00998645168764533
474,-248.1607881237706,0.00998645168764533
475,-262.53983729018057,0.00998645168764533
476,-289.5331189629619,0.00998645168764533
477,-282.37548801582193,0.00998645168764533
478,-251.3917986500147,0.00998645168764533
479,-282.523471027617,0.00998645168764533
480,-247.72305896675496,0.00998645168764533
481,-263.2126645576321,0.00998645168764533
482,-265.6347333241336,0.00998645168764533
483,-269.03704538883505,0.00998645168764533
484,-329.78817495547844,0.00998645168764533
485,-270.0062347755539,0.00998645168764533
486,-261.9591825489253,0.00998645168764533
487,-272.47168708775746,0.00998645168764533
488,-257.0895511752115,0.00998645168764533
489,-291.5848725264556,0.00998645168764533
490,-275.85784015079247,0.00998645168764533
491,-294.71121677258105,0.00998645168764533
492,-247.11531488471314,0.00998645168764533
493,-255.18247224311557,0.00998645168764533
494,-257.214903945813,0.00998645168764533
495,-275.13021864717365,0.00998645168764533
496,-273.3557189892692,0.00998645168764533
497,-261.3108207516909,0.00998645168764533
498,-305.246690399805,0.00998645168764533
499,-253.14922712755134,0.00998645168764533
500,-267.1736273293348,0.00998645168764533
